TimeStamp,NYA_DCS_G6710A_Boost_Pressure,ABS_PRE_BEFORE_INJECT TO COMB CHAMBER,NYA_DCS_G6710A_TotalKW,PREDICTED,RESIDUAL,HEALTH
2022-01-01 00:00:00+07:00,10.78,25.46,688.83,721.84,33.01,98.62
2022-01-01 01:00:00+07:00,10.63,25.28,688.72,696.16,7.44,99.66
2022-01-01 02:00:00+07:00,10.72,25.37,687.17,717.42,30.25,98.82
2022-01-01 03:00:00+07:00,10.93,25.58,688.79,734.65,45.86,97.23
2022-01-01 04:00:00+07:00,10.93,25.58,687.04,734.65,47.61,96.96
2022-01-01 05:00:00+07:00,10.97,25.62,689.25,736.8,47.55,96.97
2022-01-01 06:00:00+07:00,10.93,25.58,687.1,734.65,47.55,96.97
2022-01-01 07:00:00+07:00,10.97,25.62,688.02,736.8,48.78,96.76
2022-01-01 08:00:00+07:00,10.84,25.53,690.02,730.48,40.46,97.93
2022-01-01 09:00:00+07:00,10.68,25.41,689.06,723.8,34.74,98.49
2022-01-01 10:00:00+07:00,10.45,25.17,687.21,696.16,8.95,99.63
2022-01-01 11:00:00+07:00,10.37,25.04,687.54,674.54,13.0,99.54
2022-01-01 12:00:00+07:00,10.35,25.0,687.4,674.54,12.86,99.55
2022-01-01 13:00:00+07:00,10.33,24.98,689.42,674.54,14.88,99.49
2022-01-01 14:00:00+07:00,10.28,24.93,687.72,674.54,13.18,99.54
2022-01-01 15:00:00+07:00,10.4,25.05,686.75,674.54,12.21,99.56
2022-01-01 16:00:00+07:00,10.38,25.03,687.92,674.54,13.38,99.53
2022-01-01 17:00:00+07:00,10.55,25.2,685.76,696.16,10.4,99.6
2022-01-01 18:00:00+07:00,10.75,25.39,687.7,728.02,40.32,97.95
2022-01-01 19:00:00+07:00,10.73,25.38,688.21,723.8,35.59,98.41
2022-01-01 20:00:00+07:00,10.63,25.28,687.14,696.16,9.02,99.63
2022-01-01 21:00:00+07:00,10.53,25.2,688.36,696.16,7.8,99.66
2022-01-01 22:00:00+07:00,10.46,25.18,686.66,696.16,9.5,99.62
2022-01-01 23:00:00+07:00,10.46,25.14,686.66,696.16,9.5,99.62
2022-01-02 00:00:00+07:00,10.66,25.31,687.01,703.06,16.05,99.46
2022-01-02 01:00:00+07:00,10.71,25.36,688.18,717.42,29.24,98.88
2022-01-02 02:00:00+07:00,10.69,25.33,687.46,717.42,29.96,98.83
2022-01-02 03:00:00+07:00,10.85,25.5,687.43,730.48,43.05,97.62
2022-01-02 04:00:00+07:00,10.94,25.59,687.84,734.65,46.81,97.08
2022-01-02 05:00:00+07:00,10.96,25.61,686.59,735.83,49.24,96.68
2022-01-02 06:00:00+07:00,10.95,25.6,686.19,735.83,49.64,96.61
2022-01-02 07:00:00+07:00,10.92,25.57,686.03,734.65,48.62,96.79
2022-01-02 08:00:00+07:00,10.94,25.59,688.23,734.65,46.42,97.14
2022-01-02 14:00:00+07:00,10.34,24.99,690.04,674.54,15.5,99.47
2022-01-02 15:00:00+07:00,10.37,25.01,693.81,674.54,19.27,99.35
2022-01-02 16:00:00+07:00,10.73,25.38,694.02,723.8,29.78,98.85
2022-01-02 17:00:00+07:00,10.89,25.54,692.63,723.07,30.44,98.8
2022-01-02 18:00:00+07:00,10.94,25.59,691.98,734.65,42.67,97.67
2022-01-02 19:00:00+07:00,10.91,25.56,693.29,734.65,41.36,97.83
2022-01-02 20:00:00+07:00,10.89,25.54,691.05,723.07,32.02,98.7
2022-01-02 21:00:00+07:00,10.86,25.51,691.67,730.48,38.81,98.11
2022-01-02 22:00:00+07:00,10.88,25.53,692.66,730.48,37.82,98.21
2022-01-02 23:00:00+07:00,10.87,25.51,691.03,730.48,39.45,98.04
2022-01-03 00:00:00+07:00,10.91,25.56,692.25,734.65,42.4,97.7
2022-01-03 01:00:00+07:00,10.97,25.62,690.67,736.8,46.13,97.19
2022-01-03 02:00:00+07:00,10.99,25.63,691.9,736.8,44.9,97.37
2022-01-03 03:00:00+07:00,11.0,25.65,691.46,728.12,36.66,98.32
2022-01-03 04:00:00+07:00,11.02,25.67,691.58,745.94,54.36,95.63
2022-01-03 05:00:00+07:00,10.99,25.64,691.02,736.8,45.78,97.24
2022-01-03 06:00:00+07:00,11.03,25.68,692.76,751.31,58.55,94.55
2022-01-03 07:00:00+07:00,10.98,25.63,690.36,736.8,46.44,97.14
2022-01-03 08:00:00+07:00,11.0,25.65,692.6,728.12,35.52,98.42
2022-01-03 09:00:00+07:00,11.07,25.72,697.62,757.75,60.13,94.08
2022-01-03 10:00:00+07:00,10.95,25.6,697.46,735.83,38.37,98.15
2022-01-03 11:00:00+07:00,10.76,25.41,696.23,728.02,31.79,98.71
2022-01-03 12:00:00+07:00,10.41,25.05,694.23,674.54,19.69,99.34
2022-01-03 13:00:00+07:00,10.54,25.19,694.58,696.16,1.58,99.76
2022-01-03 14:00:00+07:00,10.36,25.0,697.27,674.54,22.73,99.22
2022-01-03 15:00:00+07:00,10.13,24.76,697.75,662.89,34.86,98.48
2022-01-03 16:00:00+07:00,10.12,24.77,696.03,662.89,33.14,98.61
2022-01-03 17:00:00+07:00,10.16,24.81,695.26,675.13,20.13,99.32
2022-01-03 18:00:00+07:00,10.27,24.92,696.95,675.13,21.82,99.25
2022-01-03 19:00:00+07:00,10.3,24.95,697.23,674.54,22.69,99.22
2022-01-03 20:00:00+07:00,10.27,24.92,697.39,675.13,22.26,99.24
2022-01-03 21:00:00+07:00,10.23,24.88,695.25,675.13,20.12,99.32
2022-01-03 22:00:00+07:00,10.31,24.96,696.17,674.54,21.63,99.26
2022-01-03 23:00:00+07:00,10.37,25.02,697.34,674.54,22.8,99.21
2022-01-04 00:00:00+07:00,10.34,24.99,696.84,674.54,22.3,99.23
2022-01-04 01:00:00+07:00,10.35,24.99,694.04,674.54,19.5,99.34
2022-01-04 02:00:00+07:00,10.34,24.99,697.21,674.54,22.67,99.22
2022-01-04 03:00:00+07:00,10.38,25.03,697.55,674.54,23.01,99.2
2022-01-04 04:00:00+07:00,10.38,25.03,697.45,674.54,22.91,99.21
2022-01-04 05:00:00+07:00,10.34,24.99,696.36,674.54,21.82,99.25
2022-01-04 06:00:00+07:00,10.37,25.02,694.71,674.54,20.17,99.32
2022-01-04 07:00:00+07:00,10.38,25.03,697.3,674.54,22.76,99.22
2022-01-04 08:00:00+07:00,10.32,24.97,695.16,674.54,20.62,99.3
2022-01-04 09:00:00+07:00,10.46,25.1,697.63,696.16,1.47,99.76
2022-01-04 10:00:00+07:00,11.14,25.78,696.4,754.13,57.73,94.78
2022-01-04 11:00:00+07:00,10.96,25.61,697.66,735.83,38.17,98.17
2022-01-04 12:00:00+07:00,11.07,25.72,697.72,757.75,60.03,94.11
2022-01-04 13:00:00+07:00,11.07,25.72,696.86,757.75,60.89,93.84
2022-01-04 14:00:00+07:00,10.89,25.54,695.75,723.07,27.32,98.99
2022-01-04 15:00:00+07:00,11.04,25.69,695.33,751.31,55.98,95.24
2022-01-04 16:00:00+07:00,11.02,25.67,695.75,745.94,50.19,96.5
2022-01-04 17:00:00+07:00,10.97,25.61,696.2,735.83,39.63,98.02
2022-01-04 18:00:00+07:00,10.89,25.54,697.97,723.07,25.1,99.11
2022-01-04 19:00:00+07:00,10.91,25.55,695.77,734.65,38.88,98.1
2022-01-04 20:00:00+07:00,10.89,25.53,695.43,730.48,35.05,98.46
2022-01-04 21:00:00+07:00,10.86,25.51,695.62,730.48,34.86,98.48
2022-01-04 22:00:00+07:00,10.63,25.28,695.62,696.16,0.54,99.77
2022-01-04 23:00:00+07:00,10.51,25.16,695.1,696.16,1.06,99.76
2022-01-05 00:00:00+07:00,10.37,25.02,695.7,674.54,21.16,99.28
2022-01-05 01:00:00+07:00,10.36,25.01,694.81,674.54,20.27,99.32
2022-01-05 02:00:00+07:00,10.38,25.03,695.34,674.54,20.8,99.3
2022-01-05 03:00:00+07:00,10.64,25.28,693.34,696.16,2.82,99.74
2022-01-05 04:00:00+07:00,10.86,25.51,694.41,730.48,36.07,98.37
2022-01-05 05:00:00+07:00,11.03,25.68,695.31,751.31,56.0,95.24
2022-01-05 06:00:00+07:00,11.04,25.69,694.52,751.31,56.79,95.03
2022-01-05 07:00:00+07:00,11.02,25.67,696.0,745.94,49.94,96.55
2022-01-05 08:00:00+07:00,10.91,25.56,694.18,734.65,40.47,97.93
2022-01-05 09:00:00+07:00,10.8,25.45,692.36,728.02,35.66,98.41
2022-01-05 10:00:00+07:00,10.74,25.39,692.83,728.02,35.19,98.45
2022-01-05 11:00:00+07:00,10.98,25.62,694.87,736.8,41.93,97.76
2022-01-05 12:00:00+07:00,10.98,25.63,695.6,736.8,41.2,97.85
2022-01-05 13:00:00+07:00,10.86,25.5,695.83,730.48,34.65,98.49
2022-01-05 14:00:00+07:00,10.81,25.46,694.98,721.84,26.86,99.02
2022-01-05 15:00:00+07:00,10.74,25.39,694.85,728.02,33.17,98.61
2022-01-05 16:00:00+07:00,10.74,25.39,696.02,728.02,32.0,98.7
2022-01-05 17:00:00+07:00,10.79,25.44,694.28,728.02,33.74,98.57
2022-01-05 18:00:00+07:00,10.66,25.31,694.7,703.06,8.36,99.65
2022-01-05 19:00:00+07:00,10.56,25.21,696.63,696.16,0.47,99.77
2022-01-05 20:00:00+07:00,10.55,25.2,695.07,696.16,1.09,99.76
2022-01-05 21:00:00+07:00,10.48,25.13,696.52,696.16,0.36,99.77
2022-01-05 22:00:00+07:00,10.59,25.24,694.52,696.16,1.64,99.76
2022-01-05 23:00:00+07:00,10.79,25.44,695.42,728.02,32.6,98.65
2022-01-06 00:00:00+07:00,10.86,25.51,695.65,730.48,34.83,98.48
2022-01-06 01:00:00+07:00,10.85,25.5,695.64,730.48,34.84,98.48
2022-01-06 02:00:00+07:00,10.79,25.44,693.98,728.02,34.04,98.54
2022-01-06 03:00:00+07:00,10.61,25.26,694.73,696.16,1.43,99.76
2022-01-06 04:00:00+07:00,10.6,25.25,695.12,696.16,1.04,99.76
2022-01-06 05:00:00+07:00,10.63,25.28,695.85,696.16,0.31,99.77
2022-01-06 06:00:00+07:00,10.57,25.22,695.09,696.16,1.07,99.76
2022-01-06 07:00:00+07:00,10.46,25.11,693.68,696.16,2.48,99.74
2022-01-06 08:00:00+07:00,10.41,25.06,695.21,674.54,20.67,99.3
2022-01-06 09:00:00+07:00,10.53,25.19,697.74,696.16,1.58,99.76
2022-01-06 10:00:00+07:00,10.55,25.2,697.67,696.16,1.51,99.76
2022-01-06 11:00:00+07:00,10.85,25.5,697.0,730.48,33.48,98.59
2022-01-06 12:00:00+07:00,10.92,25.57,697.47,734.65,37.18,98.27
2022-01-06 13:00:00+07:00,10.88,25.53,697.2,730.48,33.28,98.6
2022-01-06 14:00:00+07:00,10.95,25.6,697.83,735.83,38.0,98.19
2022-01-06 15:00:00+07:00,10.77,25.42,697.95,728.02,30.07,98.83
2022-01-06 16:00:00+07:00,10.21,24.86,695.77,675.13,20.64,99.3
2022-01-06 17:00:00+07:00,10.25,24.9,697.5,675.13,22.37,99.23
2022-01-06 18:00:00+07:00,10.32,24.97,697.24,674.54,22.7,99.22
2022-01-06 19:00:00+07:00,10.32,24.97,698.99,674.54,24.45,99.14
2022-01-06 20:00:00+07:00,10.22,24.87,696.7,675.13,21.57,99.26
2022-01-06 21:00:00+07:00,10.24,24.89,695.86,675.13,20.73,99.3
2022-01-06 22:00:00+07:00,10.32,24.97,697.55,674.54,23.01,99.2
2022-01-06 23:00:00+07:00,10.31,24.96,699.04,674.54,24.5,99.14
2022-01-07 00:00:00+07:00,10.28,24.93,697.32,674.54,22.78,99.21
2022-01-07 01:00:00+07:00,10.24,24.89,696.01,675.13,20.88,99.29
2022-01-07 02:00:00+07:00,10.23,24.88,697.33,675.13,22.2,99.24
2022-01-07 03:00:00+07:00,10.22,24.87,695.93,675.13,20.8,99.3
2022-01-07 04:00:00+07:00,10.22,24.87,696.98,675.13,21.85,99.25
2022-01-07 05:00:00+07:00,10.25,24.9,696.23,675.13,21.1,99.28
2022-01-07 06:00:00+07:00,10.22,24.86,696.46,675.13,21.33,99.27
2022-01-07 07:00:00+07:00,10.26,24.9,698.37,675.13,23.24,99.19
