TimeStamp,NYA_DCS_G6710A_TotalKVAR,HEALTH
2022-01-01 00:00:00+07:00,33.0,100.0
2022-01-01 01:00:00+07:00,35.46,100.0
2022-01-01 02:00:00+07:00,30.73,100.0
2022-01-01 03:00:00+07:00,30.47,100.0
2022-01-01 04:00:00+07:00,32.23,100.0
2022-01-01 05:00:00+07:00,32.01,100.0
2022-01-01 06:00:00+07:00,34.15,100.0
2022-01-01 07:00:00+07:00,33.15,100.0
2022-01-01 08:00:00+07:00,34.82,100.0
2022-01-01 09:00:00+07:00,29.45,100.0
2022-01-01 10:00:00+07:00,34.79,100.0
2022-01-01 11:00:00+07:00,35.63,100.0
2022-01-01 12:00:00+07:00,33.6,100.0
2022-01-01 13:00:00+07:00,33.95,100.0
2022-01-01 14:00:00+07:00,33.17,100.0
2022-01-01 15:00:00+07:00,32.4,100.0
2022-01-01 16:00:00+07:00,29.96,100.0
2022-01-01 17:00:00+07:00,31.7,100.0
2022-01-01 18:00:00+07:00,32.93,100.0
2022-01-01 19:00:00+07:00,33.66,100.0
2022-01-01 20:00:00+07:00,31.13,100.0
2022-01-01 21:00:00+07:00,35.14,100.0
2022-01-01 22:00:00+07:00,33.32,100.0
2022-01-01 23:00:00+07:00,32.16,100.0
2022-01-02 00:00:00+07:00,33.13,100.0
2022-01-02 01:00:00+07:00,31.62,100.0
2022-01-02 02:00:00+07:00,31.61,100.0
2022-01-02 03:00:00+07:00,32.34,100.0
2022-01-02 04:00:00+07:00,28.79,100.0
2022-01-02 05:00:00+07:00,30.81,100.0
2022-01-02 06:00:00+07:00,32.48,100.0
2022-01-02 07:00:00+07:00,32.66,100.0
2022-01-02 08:00:00+07:00,29.54,100.0
2022-01-02 14:00:00+07:00,32.18,100.0
2022-01-02 15:00:00+07:00,33.85,100.0
2022-01-02 16:00:00+07:00,33.92,100.0
2022-01-02 17:00:00+07:00,31.62,100.0
2022-01-02 18:00:00+07:00,32.52,100.0
2022-01-02 19:00:00+07:00,32.79,100.0
2022-01-02 20:00:00+07:00,33.24,100.0
2022-01-02 21:00:00+07:00,33.04,100.0
2022-01-02 22:00:00+07:00,36.25,100.0
2022-01-02 23:00:00+07:00,30.53,100.0
2022-01-03 00:00:00+07:00,31.14,100.0
2022-01-03 01:00:00+07:00,32.01,100.0
2022-01-03 02:00:00+07:00,31.46,100.0
2022-01-03 03:00:00+07:00,32.47,100.0
2022-01-03 04:00:00+07:00,34.38,100.0
2022-01-03 05:00:00+07:00,29.88,100.0
2022-01-03 06:00:00+07:00,32.43,100.0
2022-01-03 07:00:00+07:00,32.7,100.0
2022-01-03 08:00:00+07:00,33.9,100.0
2022-01-03 09:00:00+07:00,33.67,100.0
2022-01-03 10:00:00+07:00,33.09,100.0
2022-01-03 11:00:00+07:00,33.1,100.0
2022-01-03 12:00:00+07:00,31.08,100.0
2022-01-03 13:00:00+07:00,31.66,100.0
2022-01-03 14:00:00+07:00,31.84,100.0
2022-01-03 15:00:00+07:00,30.05,100.0
2022-01-03 16:00:00+07:00,33.2,100.0
2022-01-03 17:00:00+07:00,30.67,100.0
2022-01-03 18:00:00+07:00,32.25,100.0
2022-01-03 19:00:00+07:00,29.54,100.0
2022-01-03 20:00:00+07:00,33.56,100.0
2022-01-03 21:00:00+07:00,32.72,100.0
2022-01-03 22:00:00+07:00,32.2,100.0
2022-01-03 23:00:00+07:00,32.06,100.0
2022-01-04 00:00:00+07:00,32.81,100.0
2022-01-04 01:00:00+07:00,29.61,100.0
2022-01-04 02:00:00+07:00,34.55,100.0
2022-01-04 03:00:00+07:00,33.07,100.0
2022-01-04 04:00:00+07:00,32.99,100.0
2022-01-04 05:00:00+07:00,30.92,100.0
2022-01-04 06:00:00+07:00,31.04,100.0
2022-01-04 07:00:00+07:00,31.66,100.0
2022-01-04 08:00:00+07:00,31.95,100.0
