TimeStamp,NYA_DCS_G6710A_TotalKW,AVG_ALL_CYLINDER,PREDICTED,RESIDUAL,HEALTH
2022-01-01 00:00:00+07:00,688.83,882.05,884.59,2.54,99.98
2022-01-01 01:00:00+07:00,688.72,885.16,884.59,0.57,99.99
2022-01-01 02:00:00+07:00,687.17,883.12,884.59,1.47,99.99
2022-01-01 03:00:00+07:00,688.79,879.79,884.59,4.8,99.97
2022-01-01 04:00:00+07:00,687.04,879.27,884.59,5.32,99.97
2022-01-01 05:00:00+07:00,689.25,879.59,884.59,5.0,99.97
2022-01-01 06:00:00+07:00,687.1,879.01,884.59,5.58,99.97
2022-01-01 07:00:00+07:00,688.02,877.06,884.59,7.53,99.96
2022-01-01 08:00:00+07:00,690.02,880.68,884.59,3.91,99.98
2022-01-01 09:00:00+07:00,689.06,883.8,884.59,0.79,99.99
2022-01-01 10:00:00+07:00,687.21,885.98,884.59,1.39,99.99
2022-01-01 11:00:00+07:00,687.54,888.92,884.59,4.33,99.98
2022-01-01 12:00:00+07:00,687.4,889.77,884.59,5.18,99.97
2022-01-01 13:00:00+07:00,689.42,891.84,884.59,7.25,99.96
2022-01-01 14:00:00+07:00,687.72,892.3,884.59,7.71,99.96
2022-01-01 15:00:00+07:00,686.75,890.29,884.59,5.7,99.97
2022-01-01 16:00:00+07:00,687.92,890.32,884.59,5.73,99.97
2022-01-01 17:00:00+07:00,685.76,886.36,884.59,1.77,99.99
2022-01-01 18:00:00+07:00,687.7,882.9,884.59,1.69,99.99
2022-01-01 19:00:00+07:00,688.21,882.39,884.59,2.2,99.98
2022-01-01 20:00:00+07:00,687.14,883.75,884.59,0.84,99.99
2022-01-01 21:00:00+07:00,688.36,885.75,884.59,1.16,99.99
2022-01-01 22:00:00+07:00,686.66,887.57,884.59,2.98,99.98
2022-01-01 23:00:00+07:00,686.66,887.36,884.59,2.77,99.98
2022-01-02 00:00:00+07:00,687.01,883.98,884.59,0.61,99.99
2022-01-02 01:00:00+07:00,688.18,883.33,884.59,1.26,99.99
2022-01-02 02:00:00+07:00,687.46,882.99,884.59,1.6,99.99
2022-01-02 03:00:00+07:00,687.43,880.93,884.59,3.66,99.98
2022-01-02 04:00:00+07:00,687.84,879.0,884.59,5.59,99.97
2022-01-02 05:00:00+07:00,686.59,878.33,884.59,6.26,99.97
2022-01-02 06:00:00+07:00,686.19,878.67,884.59,5.92,99.97
2022-01-02 07:00:00+07:00,686.03,878.33,884.59,6.26,99.97
2022-01-02 08:00:00+07:00,688.23,879.11,884.59,5.48,99.97
2022-01-02 14:00:00+07:00,690.04,894.8,884.59,10.21,99.93
2022-01-02 15:00:00+07:00,693.81,897.8,891.05,6.75,99.96
2022-01-02 16:00:00+07:00,694.02,892.49,891.05,1.44,99.99
2022-01-02 17:00:00+07:00,692.63,888.32,891.05,2.73,99.98
2022-01-02 18:00:00+07:00,691.98,885.11,891.05,5.94,99.97
2022-01-02 19:00:00+07:00,693.29,885.17,891.05,5.88,99.97
2022-01-02 20:00:00+07:00,691.05,883.11,891.05,7.94,99.95
2022-01-02 21:00:00+07:00,691.67,882.43,891.05,8.62,99.95
2022-01-02 22:00:00+07:00,692.66,882.65,891.05,8.4,99.95
